Date,Close,Open,High,Low,Volume,Returns
2014-01-02,27.29,27.25,27.35,27.02,580.0,0.11
2014-01-03,27.71,27.3,27.75,27.3,670.0,1.54
2014-01-06,28.2,27.72,28.37,27.7,1230.0,1.77
2014-01-07,27.67,28.16,28.27,27.6,810.0,-1.88
2014-01-08,27.35,27.65,27.79,27.25,830.0,-1.16
2014-01-09,26.85,27.3,27.3,26.72,620.0,-1.83
2014-01-10,27.0,26.84,27.0,26.8,360.0,0.56
2014-01-13,27.13,26.99,27.15,26.91,360.0,0.48
2014-01-14,27.18,27.15,27.3,27.13,120.0,0.18
2014-01-15,27.32,27.19,27.33,27.19,690.0,0.52
2014-01-16,27.23,27.1,27.38,27.1,1560.0,-0.33
2014-01-17,26.97,27.29,27.34,26.88,1710.0,-0.95
2014-01-20,26.75,26.93,26.93,26.7,1200.0,-0.82
2014-01-21,26.31,26.76,26.79,26.3,2260.0,-1.64
2014-01-22,26.14,26.27,26.4,26.12,1810.0,-0.65
2014-01-23,26.24,26.15,26.28,25.95,2120.0,0.38
2014-01-24,26.24,26.2,26.38,26.15,1680.0,0.0
2014-01-27,25.92,26.2,26.25,25.83,2220.0,-1.22
2014-01-28,26.19,25.91,26.24,25.89,1290.0,1.04
2014-01-29,26.8,26.17,26.91,26.14,3300.0,2.33
2014-01-30,27.16,26.82,27.2,26.62,2810.0,1.34
2014-01-31,27.56,27.16,27.6,27.09,2560.0,1.47
2014-02-03,28.35,27.53,28.4,27.45,2210.0,2.87
2014-02-04,28.92,28.3,28.95,28.2,1370.0,2.01
2014-02-05,29.53,28.89,29.6,28.8,1830.0,2.11
2014-02-06,29.32,29.55,29.93,29.25,1990.0,-0.71
2014-02-07,29.04,29.25,29.3,28.45,2700.0,-0.95
2014-02-10,29.51,29.05,29.56,28.89,2100.0,1.62
2014-02-11,29.58,29.5,29.6,29.1,2450.0,0.24
2014-02-12,29.61,29.65,29.95,29.46,2400.0,0.1
2014-02-13,30.4,29.69,30.44,29.66,3230.0,2.67
2014-02-14,30.73,30.4,30.78,30.15,1990.0,1.09
2014-02-17,31.75,30.78,31.77,30.66,0.0,3.32
2014-02-18,32.09,31.74,32.15,31.35,0.0,1.07
2014-02-19,33.69,32.25,33.69,32.25,0.0,4.99
2014-02-20,33.87,33.88,34.39,33.5,0.0,0.53
2014-02-21,33.8,33.81,34.25,33.45,0.0,-0.21
2014-02-24,34.41,33.79,34.48,33.7,820.0,1.8
2014-02-25,34.06,34.5,34.75,33.85,0.0,-1.02
2014-02-26,33.72,33.94,34.29,33.65,400.0,-1.0
2014-02-27,33.19,33.7,33.81,33.1,1100.0,-1.57
2014-02-28,32.92,33.22,33.22,32.56,1210.0,-0.81
2014-03-05,33.66,32.95,33.8,32.94,330.0,2.25
2014-03-06,34.12,33.79,34.16,33.71,1320.0,1.37
2014-03-07,33.82,34.13,34.15,33.7,530.0,-0.88
2014-03-10,33.8,33.94,34.0,33.5,550.0,-0.06
2014-03-11,33.9,33.78,33.97,33.75,320.0,0.3
2014-03-12,33.75,33.9,33.9,33.71,,-0.44
2014-03-13,33.31,33.25,33.25,33.25,0.0,-1.3
2014-03-14,33.1,33.25,33.25,33.0,,-0.63
2014-03-17,33.51,33.2,33.45,33.2,,1.24
2014-03-18,30.62,30.6,31.0,30.33,130.0,-8.62
2014-03-19,30.21,30.61,30.75,30.1,80.0,-1.34
2014-03-20,30.84,30.16,30.88,30.0,330.0,2.09
2014-03-21,30.43,30.99,31.45,30.35,,-1.33
2014-03-24,30.8,30.6,30.88,30.02,220.0,1.22
2014-03-25,31.09,30.86,31.25,30.51,20.0,0.94
2014-03-26,30.66,31.22,31.24,30.56,140.0,-1.38
2014-03-27,29.86,30.7,30.7,29.8,350.0,-2.61
2014-03-28,30.07,29.81,30.3,29.74,,0.7
2014-03-31,30.3,30.07,30.7,29.55,20.0,0.76
2014-04-01,30.86,30.36,30.9,30.3,120.0,1.85
2014-04-02,31.44,30.9,31.48,30.8,240.0,1.88
2014-04-03,31.46,31.55,31.66,31.35,10.0,0.06
2014-04-04,31.77,31.41,31.8,31.4,30.0,0.99
2014-04-07,31.7,31.78,31.91,31.45,10.0,-0.22
2014-04-08,31.49,31.7,31.7,31.31,,-0.66
2014-04-09,31.33,31.47,31.6,31.15,,-0.51
2014-04-10,31.52,31.3,31.6,31.12,50.0,0.61
2014-04-11,31.53,31.53,31.73,31.16,,0.03
2014-04-14,31.51,31.48,31.55,31.4,,-0.06
2014-04-15,31.21,31.5,31.5,31.16,,-0.95
2014-04-16,31.58,31.26,31.63,31.26,,1.19
2014-04-17,31.25,31.58,31.6,31.19,,-1.04
2014-04-22,30.98,31.2,31.32,30.7,30.0,-0.86
2014-04-23,31.1,30.95,31.4,30.86,0.0,0.39
2014-04-24,30.74,31.09,31.13,30.57,10.0,-1.16
2014-04-25,30.16,30.7,30.75,30.11,60.0,-1.89
2014-04-28,30.06,30.15,30.8,30.01,110.0,-0.33
2014-04-29,30.2,30.01,30.33,29.88,10.0,0.47
2014-04-30,29.85,30.29,30.3,29.81,0.0,-1.16
2014-05-02,29.86,29.85,30.0,29.68,0.0,0.03
2014-05-05,30.0,29.88,30.15,29.88,0.0,0.47
2014-05-06,29.91,30.0,30.0,29.9,,-0.3
2014-05-07,29.76,29.9,29.9,29.64,0.0,-0.5
2014-05-08,29.55,29.55,29.55,29.55,,-0.71
2014-05-09,29.35,29.25,29.25,29.25,0.0,-0.68
2014-05-12,29.14,29.25,29.26,29.1,,-0.72
2014-05-13,29.1,29.03,29.36,29.0,,-0.14
2014-05-14,28.79,29.07,29.07,28.66,,-1.07
2014-05-15,28.85,28.7,28.85,28.65,,0.21
2014-05-16,28.47,28.4,28.44,28.36,,-1.32
2014-05-19,27.9,28.05,28.05,27.9,,-2.0
2014-05-20,27.6,27.8,27.81,27.6,,-1.08
2014-05-21,27.49,27.46,27.49,27.11,,-0.4
2014-05-22,27.55,27.44,27.78,27.4,,0.22
2014-05-23,27.55,27.45,27.55,27.3,,0.0
2014-05-26,27.7,27.7,27.7,27.7,,0.54
2014-05-27,27.37,27.41,27.42,27.3,50.0,-1.19
2014-05-28,27.3,27.3,27.31,27.2,,-0.26
2014-05-29,27.29,27.28,27.29,27.02,,-0.04
2014-05-30,27.1,27.1,27.15,26.9,,-0.7
2014-06-02,27.1,27.0,27.1,27.0,,0.0
2014-06-03,27.09,27.1,27.1,26.95,,-0.04
2014-06-04,27.18,27.18,27.18,27.18,,0.33
2014-06-05,26.64,26.8,26.9,26.6,,-1.99
2014-06-06,26.65,26.6,26.7,26.5,,0.04
2014-06-09,26.15,26.4,26.4,26.15,,-1.88
2014-06-10,25.8,25.99,25.99,25.75,,-1.34
2014-06-11,25.4,25.72,25.74,25.3,,-1.55
2014-06-13,25.04,24.7,25.2,24.7,,-1.42
2014-06-16,24.85,24.86,24.9,24.79,,-0.76
2014-06-17,24.75,24.81,25.09,24.81,,-0.4
2014-06-18,25.09,25.09,25.09,25.09,,1.37
2014-06-20,25.5,25.0,25.5,25.0,,1.63
2014-06-23,25.55,25.35,25.6,25.35,10.0,0.2
2014-06-24,25.18,25.26,25.35,25.18,,-1.45
2014-06-25,24.87,25.18,25.18,24.87,30.0,-1.23
2014-06-26,25.1,24.81,25.2,24.8,10.0,0.92
2014-06-27,24.9,25.15,25.15,24.58,20.0,-0.8
2014-06-30,24.6,24.71,24.71,24.6,20.0,-1.2
2014-07-01,24.39,24.4,24.45,24.35,40.0,-0.85
2014-07-02,24.21,24.11,24.21,24.1,30.0,-0.74
2014-07-03,24.38,24.2,24.45,24.2,20.0,0.7
2014-07-04,24.2,24.3,24.3,24.2,0.0,-0.74
2014-07-07,24.4,24.4,24.4,24.4,10.0,0.83
2014-07-08,24.25,24.26,24.3,24.26,0.0,-0.61
2014-07-10,24.44,24.35,24.44,24.35,,0.78
2014-07-11,24.15,24.3,24.3,24.13,,-1.19
2014-07-14,24.15,24.16,24.28,24.15,60.0,0.0
2014-07-15,24.06,24.14,24.14,24.0,,-0.37
2014-07-16,23.64,23.64,23.64,23.64,,-1.75
2014-07-17,23.65,23.65,23.65,23.65,,0.04
2014-07-18,23.36,23.36,23.36,23.36,,-1.23
2014-07-21,23.22,23.22,23.22,23.22,,-0.6
2014-07-22,23.12,23.12,23.12,23.12,,-0.43
2014-07-23,23.12,23.12,23.12,23.12,,0.0
2014-07-24,23.15,23.15,23.15,23.15,,0.13
2014-07-25,23.39,23.39,23.39,23.39,,1.04
2014-07-28,23.57,23.57,23.57,23.57,,0.77
2014-07-29,23.44,23.44,23.44,23.44,,-0.55
2014-07-30,23.49,23.49,23.49,23.49,,0.21
2014-07-31,23.2,23.43,23.43,23.2,,-1.23
2014-08-01,24.0,24.0,24.0,24.0,,3.45
2014-08-04,24.5,24.5,24.5,24.5,0.0,2.08
2014-08-05,24.23,24.23,24.23,24.23,,-1.1
2014-08-06,24.0,24.0,24.0,24.0,10.0,-0.95
2014-08-07,24.5,24.5,24.5,24.5,0.0,2.08
2014-08-08,24.29,24.29,24.29,24.29,,-0.86
2014-08-11,23.45,23.39,23.45,23.39,10.0,-3.46
2014-08-12,23.4,23.4,23.4,23.4,,-0.21
2014-08-13,23.4,23.4,23.4,23.4,,0.0
2014-08-14,23.22,23.22,23.22,23.22,,-0.77
2014-08-15,22.99,22.99,22.99,22.99,,-0.99
2014-08-18,23.35,23.39,23.5,23.28,1550.0,1.57
2014-08-19,23.32,23.36,23.44,23.25,810.0,-0.13
2014-08-20,23.21,23.35,23.39,23.1,10.0,-0.47
2014-08-21,23.21,23.21,23.25,23.2,1540.0,0.0
2014-08-22,23.65,23.21,23.79,23.2,4040.0,1.9
2014-08-25,23.48,23.7,23.8,23.31,2110.0,-0.72
2014-08-26,23.29,23.43,23.5,23.25,2340.0,-0.81
2014-08-27,23.26,23.22,23.23,23.15,2370.0,-0.13
2014-08-28,23.2,23.22,23.3,23.05,1870.0,-0.26
