age_group,1940 U.S. Std Million,1950 U.S. Std Million,1960 U.S. Std Million,1970 U.S. Std Million,1980 U.S. Std Million,1990 U.S. Std Million,1991 Canadian Std Million,1996 Canadian Std Million,2000 U.S. Std Million,2000 U.S. Std Population (Census P25-1130),2011 Canadian Standard Population,European (EU-27 plus EFTA 2011-2030) Std Million,European (Scandinavian 1960) Std Million,World (Segi 1960) Std Million,World (WHO 2000-2025) Std Million,Standard population OECD
0,15343,20882,22930,17151,15598,12936,14334,12342,13818,3794901,376321,10000,16000,24000,17917,1624
01-04,64718,86376,90390,67265,56565,60863,55131,53893,55317,15191619,1522743,40000,64000,96000,70652,6322
05-09,81147,87591,104235,98204,73716,72772,69454,67985,72533,19919840,1810433,55000,70000,100000,86870,8089
10-14,89208,73785,93538,102304,80523,68812,68034,67716,73032,20056779,1918164,55000,70000,90000,85970,8304
15-19,93670,70450,73717,93845,93439,71384,68495,67841,72169,19819518,2238952,55000,70000,90000,84670,8560
20-24,88007,76191,60231,80561,94103,76476,75016,67761,66478,18257225,2354354,60000,70000,80000,82171,8200
25-29,84277,81237,60612,66320,86168,85694,89944,72914,64529,17722067,2369841,60000,70000,80000,79272,7813
30-34,77789,76425,66635,56249,77516,87905,92400,87030,71044,19511370,2327955,65000,70000,60000,76073,7625
35-39,72495,74629,69601,54656,61644,80267,83388,88510,80762,22179956,2273087,70000,70000,60000,71475,6307
40-44,66742,67712,64689,58958,51510,70829,76063,80055,81851,22479229,2385918,70000,70000,60000,65877,5831
45-49,62697,60190,60670,59622,48951,55778,59536,71847,72118,19805793,2719909,70000,70000,60000,60379,5563
50-54,55114,54893,53568,54643,51689,45638,47649,55812,62716,17224359,2691260,70000,70000,50000,53681,5462
55-59,44383,48011,47009,49077,51271,42345,44041,44869,48454,13307234,2353090,65000,60000,40000,45484,5083
60-64,35911,40210,39830,42403,44528,42685,42326,40705,38793,10654272,2050443,60000,50000,40000,37187,3894
65-69,28911,33199,34897,34406,38767,40657,38570,37858,34264,9409940,1532940,55000,40000,30000,29590,3883
70-74,19515,22641,26427,26789,30008,32145,29660,32589,31773,8725574,1153822,50000,30000,20000,22092,3177
75-79,11422,14283,17028,18871,21160,24612,22127,23232,26999,7414559,919338,40000,20000,10000,15195,2265
80-84,5881,7467,8811,11241,12956,15817,13595,15424,17842,4900234,701140,25000,10000,5000,9097,1232
85+,2770,3828,5182,7435,9888,12385,10237,11617,15508,4259173,643070,25000,10000,5000,6348,766
